1,7840,AB
2,61,AU
3,43,AT
4,994,AZ
5,355,AL
6,213,DZ
7,244,AO
8,376,AD
9,1268,AG
10,54,AR
11,374,AM
12,93,AF
13,1242,BS
14,880,BD
15,1246,BB
16,973,BH
17,501,BZ
18,375,BY
19,32,BE
20,229,BJ
21,359,BG
22,591,BO
23,387,BA
24,267,BW
25,55,BR
26,673,BN
27,226,BF
28,257,BI
29,975,BT
30,678,VU
31,379,VA
32,44,GB
33,36,HU
34,58,VE
35,670,TL
36,84,VN
37,241,GA
38,509,HT
39,592,GY
40,220,GM
41,233,GH
42,502,GT
43,224,GN
44,245,GW
45,49,DE
46,504,HN
47,970,PS
48,1473,GD
49,30,GR
50,995,GE
51,45,DK
52,253,DJ
53,1767,DM
54,1809,DO
55,243,CD
56,20,EG
57,260,ZM
58,263,ZW
59,972,IL
60,91,IN
61,62,ID
62,962,JO
63,964,IQ
64,98,IR
65,353,IE
66,354,IS
67,34,ES
68,39,IT
69,967,YE
70,238,CV
71,7,KZ
72,855,KH
73,237,CM
74,1,CA
75,974,QA
76,254,KE
77,357,CY
78,996,KG
79,686,KI
80,86,CN
81,850,KP
82,57,CO
83,269,KM
84,506,CR
85,225,CI
86,53,CU
87,965,KW
88,856,LA
89,371,LV
90,266,LS
91,231,LR
92,961,LB
93,218,LY
94,370,LT
95,423,LI
96,352,LU
97,230,MU
98,222,MR
99,261,MG
100,265,MW
101,60,MY
102,223,ML
103,960,MV
104,356,MT
105,212,MA
106,692,MH
107,52,MX
108,258,MZ
109,373,MD
110,377,MC
111,976,MN
112,95,MM
113,264,NA
114,674,NR
115,977,NP
116,227,NE
117,234,NG
118,31,NL
119,505,NI
120,64,NZ
121,47,NO
122,971,AE
123,968,OM
124,92,PK
125,680,PW
126,507,PA
127,675,PG
128,595,PY
129,51,PE
130,48,PL
131,351,PT
132,242,CG
133,82,KR
134,7,RU
135,250,RW
136,40,RO
137,503,SV
138,685,WS
139,378,SM
140,239,ST
141,966,SA
142,389,MK
143,248,SC
144,221,SN
145,1784,VC
146,1869,KN
147,1758,LC
148,381,RS
149,65,SG
150,963,SY
151,421,SK
152,386,SI
153,677,SB
154,252,SO
155,249,SD
156,597,SR
157,1,US
158,232,SL
159,992,TJ
160,66,TH
161,255,TZ
162,228,TG
163,676,TO
164,1868,TT
165,688,TV
166,216,TN
167,993,TM
168,90,TR
169,256,UG
170,998,UZ
171,380,UA
172,598,UY
173,691,FM
174,679,FJ
175,63,PH
176,358,FI
177,33,FR
178,385,HR
179,236,CF
180,235,TD
181,382,ME
182,420,CZ
183,56,CL
184,41,CH
185,46,SE
186,94,LK
187,593,EC
188,240,GQ
189,291,ER
190,268,SZ
191,372,EE
192,251,ET
193,27,ZA
194,7,OS
195,211,SS
196,1876,JM
197,81,JP
